chunck_size,wave_offset,moving_average_index,r_squared
5,11,10,FAILED
5,11,11,FAILED
5,11,12,FAILED
5,11,13,FAILED
5,11,14,FAILED
5,11,15,FAILED
5,11,16,FAILED
5,11,17,FAILED
5,11,18,FAILED
5,11,19,FAILED
5,11,20,FAILED
5,12,3,FAILED
5,12,4,FAILED
5,12,5,FAILED
5,12,6,FAILED
5,12,7,FAILED
5,12,8,FAILED
5,12,9,FAILED
5,12,10,FAILED
5,12,11,FAILED
5,12,12,FAILED
5,12,13,FAILED
5,12,14,FAILED
5,12,15,FAILED
5,12,16,FAILED
5,12,17,FAILED
5,12,18,FAILED
5,12,19,FAILED
5,12,20,FAILED
5,13,3,FAILED
5,13,4,FAILED
5,13,5,FAILED
5,13,6,FAILED
5,13,7,FAILED
5,13,8,FAILED
5,13,9,FAILED
5,13,10,FAILED
5,13,11,FAILED
5,13,12,FAILED
5,13,13,FAILED
5,13,14,FAILED
5,13,15,FAILED
5,13,16,FAILED
5,13,17,FAILED
5,13,18,FAILED
5,13,19,FAILED
5,13,20,FAILED
5,14,3,FAILED
5,14,4,FAILED
5,14,5,FAILED
5,14,6,FAILED
5,14,7,FAILED
5,14,8,FAILED
5,14,9,FAILED
5,14,10,FAILED
5,14,11,FAILED
5,14,12,FAILED
5,14,13,FAILED
5,14,14,FAILED
5,14,15,FAILED
5,14,16,FAILED
5,14,17,FAILED
5,14,18,FAILED
5,14,19,FAILED
5,14,20,FAILED
5,15,3,FAILED
5,15,4,FAILED
5,15,5,FAILED
5,15,6,FAILED
5,15,7,FAILED
5,15,8,FAILED
5,15,9,FAILED
5,15,10,FAILED
5,15,11,FAILED
5,15,12,FAILED
5,15,13,FAILED
5,15,14,FAILED
5,15,15,FAILED
5,15,16,FAILED
5,15,17,FAILED
5,15,18,FAILED
5,15,19,FAILED
5,15,20,FAILED
6,3,3,FAILED
6,3,4,FAILED
6,3,5,FAILED
6,3,6,FAILED
6,3,7,FAILED
6,3,8,FAILED
6,3,9,FAILED
6,3,10,FAILED
6,3,11,FAILED
6,3,12,FAILED
6,3,13,FAILED
6,3,14,FAILED
6,3,15,FAILED
6,3,16,FAILED
6,3,17,FAILED
6,3,18,FAILED
6,3,19,FAILED
6,3,20,FAILED
6,4,3,FAILED
6,4,4,FAILED
6,4,5,FAILED
6,4,6,FAILED
6,4,7,FAILED
6,4,8,FAILED
6,4,9,FAILED
6,4,10,FAILED
6,4,11,FAILED
6,4,12,FAILED
6,4,13,FAILED
6,4,14,FAILED
6,4,15,FAILED
6,4,16,FAILED
6,4,17,FAILED
6,4,18,FAILED
6,4,19,FAILED
6,4,20,FAILED
6,5,3,FAILED
6,5,4,FAILED
6,5,5,FAILED
6,5,6,FAILED
6,5,7,FAILED
6,5,8,FAILED
6,5,9,FAILED
6,5,10,FAILED
6,5,11,FAILED
6,5,12,FAILED
6,5,13,FAILED
6,5,14,FAILED
6,5,15,FAILED
6,5,16,FAILED
6,5,17,FAILED
6,5,18,FAILED
6,5,19,FAILED
6,5,20,FAILED
6,6,3,FAILED
6,6,4,FAILED
6,6,5,FAILED
6,6,6,FAILED
6,6,7,FAILED
6,6,8,FAILED
6,6,9,FAILED
6,6,10,FAILED
6,6,11,FAILED
6,6,12,FAILED
6,6,13,FAILED
6,6,14,FAILED
6,6,15,FAILED
6,6,16,FAILED
6,6,17,FAILED
6,6,18,FAILED
6,6,19,FAILED
6,6,20,FAILED
6,7,3,FAILED
6,7,4,FAILED
6,7,5,FAILED
6,7,6,FAILED
6,7,7,FAILED
6,7,8,FAILED
6,7,9,FAILED
6,7,10,FAILED
6,7,11,FAILED
6,7,12,FAILED
6,7,13,FAILED
6,7,14,FAILED
6,7,15,FAILED
6,7,16,FAILED
6,7,17,FAILED
6,7,18,FAILED
6,7,19,FAILED
6,7,20,FAILED
6,8,3,FAILED
6,8,4,FAILED
6,8,5,FAILED
6,8,6,FAILED
6,8,7,FAILED
6,8,8,FAILED
6,8,9,FAILED
6,8,10,FAILED
6,8,11,FAILED
6,8,12,FAILED
6,8,13,FAILED
6,8,14,FAILED
6,8,15,FAILED
6,8,16,FAILED
6,8,17,FAILED
6,8,18,FAILED
6,8,19,FAILED
6,8,20,FAILED
6,9,3,FAILED
6,9,4,FAILED
6,9,5,FAILED
6,9,6,FAILED
6,9,7,FAILED
6,9,8,FAILED
6,9,9,FAILED
6,9,10,FAILED
6,9,11,FAILED
6,9,12,FAILED
6,9,13,FAILED
6,9,14,FAILED
6,9,15,FAILED
6,9,16,FAILED
6,9,17,FAILED
6,9,18,FAILED
6,9,19,FAILED
6,9,20,FAILED
6,10,3,FAILED
6,10,4,FAILED
6,10,5,FAILED
6,10,6,FAILED
6,10,7,FAILED
6,10,8,FAILED
6,10,9,FAILED
6,10,10,FAILED
6,10,11,FAILED
6,10,12,FAILED
6,10,13,FAILED
6,10,14,FAILED
6,10,15,FAILED
6,10,16,FAILED
6,10,17,FAILED
6,10,18,FAILED
6,10,19,FAILED
6,10,20,FAILED
6,11,3,FAILED
6,11,4,FAILED
6,11,5,FAILED
6,11,6,FAILED
6,11,7,FAILED
6,11,8,FAILED
6,11,9,FAILED
6,11,10,FAILED
6,11,11,FAILED
6,11,12,FAILED
6,11,13,FAILED
6,11,14,FAILED
6,11,15,FAILED
6,11,16,FAILED
6,11,17,FAILED
6,11,18,FAILED
6,11,19,FAILED
6,11,20,FAILED
6,12,3,FAILED
6,12,4,FAILED
6,12,5,FAILED
6,12,6,FAILED
6,12,7,FAILED
6,12,8,FAILED
6,12,9,FAILED
6,12,10,FAILED
6,12,11,FAILED
6,12,12,FAILED
6,12,13,FAILED
